id,listing_url,scrape_id,last_searched,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,region_id,region_name,region_parent_id,region_parent_name,region_parent_parent_id,region_parent_parent_name,reviews_per_month
46142569,https://www.airbnb.com/rooms/46142569,2.02101E+13,23/1/2021,30/1/2021,The Old Corner Store | Central  and Stylish,"This tastefully converted old corner store is ideally located in trendy East Orange. Featuring timber floorboards, high ceilings & large windows, this luxuriously styled home is the perfect place to base yourself for your next visit to Orange. <br /><br />Bills Beans, one of Oranges best coffee shops is just around the corner, perfect for your morning brew. The north facing courtyard is perfect to enjoy a wine or two in the afternoon.<br /><br /><b>The space</b><br />COVID-19: This property is professionally cleaned by our team of regular cleaners who have all been trained to maintain our high quality cleaning standards in alignment with the Covid-19 Pandemic.<br /><br />BNB Made Easy professionally manages this home so you can rest assured it will be sparkling clean, well-equipped, fresh and comfortable for your stay. Bath sheets, high quality linen and essential amenities are all supplied.<br /><br />THE HOME<br />•  Free Wifi<br />•  Smart TV<br />•  Well-equipped kitchen<br />•  Be","Orange is a beautiful city distinguished by its gorgeous tree-lined streets, charming heritage houses and fresh local produce. Home to just over 40,000 people, this significant regional centre hosts an exciting calendar of events including festivals of food and wine, cycling, running, hot-air ballooning and poetry along with regular farmers markets and much more.<br />Over 80 vineyards surround Orange and produce distinguished cool-climate wines made with passion by our resident winemakers and vignerons. The city is also known for its lovely parks, brilliant autumn colours, vibrant café’s and award winning restaurants.",https://a0.muscache.com/pictures/miso/Hosting-46142569/original/ff195a8f-2370-463a-893c-a1ef8e907d4d.jpeg,53244166,https://www.airbnb.com/users/show/53244166,BNB Made Easy: Timmy,4/1/2016,"Orange, New South Wales, Australia","Hello we are BNB Made Easy, a local Airbnb property management business servicing Orange Bathurst & Millthorpe, NSW. We take care of everything and focus on high cleaning standards and ensure each of our guests enjoy an outstanding experience in our wonderful region.

All of our properties are well maintained, contain high quality and fresh linen, essential amenities and are thoroughly cleaned and prepared for our next guests following our strict cleaning protocols.

We are a team of 4 who all grew up in and adore our wonderful region. All of our guests receive our local guide which provides fantastic tips to cafes, restaurants, boutique shopping, vineyards, outdoor activities + more! 
Thank you for choosing our home and we can't wait to host you!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/1d3e90a5-b552-4010-bbde-8879e2330cfe.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1d3e90a5-b552-4010-bbde-8879e2330cfe.jpg?aki_policy=profile_x_medium,,68,68,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Orange, New South Wales, Australia",-33.28229,149.1098,Entire house,Entire home/apt,4,,1 bath,2,2,"[""Ceiling fan"", ""Dishwasher"", ""Heating"", ""Patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Free street parking"", ""Single level home"", ""Long term stays allowed"", ""Nespresso machine"", ""Washer"", ""TV"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Lockbox"", ""Iron"", ""Essentials"", ""Barbecue utensils"", ""Shower gel"", ""Oven"", ""Free parking on premises"", ""Dedicated workspace"", ""Microwave"", ""Stove"", ""Hangers"", ""Shampoo"", ""Body soap"", ""Wifi"", ""Garden or backyard"", ""Conditioner"", ""BBQ grill"", ""Refrigerator"", ""Freezer"", ""Kitchen"", ""Dryer"", ""Bed linens"", ""Smoke alarm""]",$235.00,2,365,2,5,365,365,2.6,365,,t,22,51,74,349,30/1/2021,15,15,7,7/11/2020,21/1/2021,96,10,10,10,10,10,10,,,t,68,68,0,0,16150,Orange ,1,New South Wales,,,5.29
38826228,https://www.airbnb.com/rooms/38826228,2.02101E+13,24/1/2021,29/1/2021,'Wendouree' is a centrally located heritage home,"Treat yourself to a wonderful experience in a magnificent family home, with majestic heritage features. Whether you're in Orange for a wine tasting weekend, corporate stay, wedding; Wendouree is the perfect place for you.<br />This home features beautiful heritage living spaces with original parquetry, large stained glassed windows, original fireplaces, oak paneling, chandeliers and oregon ceilings.<br />Please note, parties and events are not allowed.<br /><br /><b>The space</b><br />A modern extension to the rear of the home ensures your family/friends have plenty of private space with two additional living spaces.<br />Other features in the home include:<br />-Outside patio with fire pit<br />-Formal dining room seats 12<br />-Total land area at 1916m^2<br />-Music room with piano and library<br />-Powder room tiled in emerald marble<br />-Fully equipped kitchen with black granite bench tops<br />-Back deck with a BBQ and marble dining table<br />-Bar<br />-3 large living areas<br /","'Wendouree' is located in the centre of Orange, near landmarks and businesses such as The Union Bank, St Josephs Church, Lolli Redini's 'hatted'  restaurant , Cook Park, Byng Street Cafe and Zona.",https://a0.muscache.com/pictures/42e270b6-e8bb-48c4-b246-029ac0786501.jpg,258660009,https://www.airbnb.com/users/show/258660009,Paul,28/4/2019,AU,,within a day,100%,93%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,0,0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",f,t,"Orange, New South Wales, Australia",-33.28167,149.09598,Entire house,Entire home/apt,12,,3.5 baths,5,8,"[""Hangers"", ""Free parking on premises"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Dryer"", ""Washer"", ""Iron"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""Smoke alarm"", ""Private entrance"", ""Hair dryer"", ""First aid kit"", ""Dedicated workspace"", ""Indoor fireplace"", ""TV"", ""Heating""]",$757.00,2,1125,2,2,1125,1125,2,1125,,t,18,40,54,83,29/1/2021,15,15,1,14/3/2020,4/1/2021,97,10,10,10,10,10,10,,,f,1,1,0,0,16150,Orange ,1,New South Wales,,,1.4
21503504,https://www.airbnb.com/rooms/21503504,2.02101E+13,23/1/2021,1/2/2021,THE RESIDENCES - NUMBER 49,"Boutique self-contained accommodation with Location, Location, Location<br />Number 49, is a fully renovated self-contained townhouse that has all the modern day comforts you could possibly desire for your home away from home stay.<br />Designed and styled for the astute traveller seeking up market accommodation, whether it be for short or long-term stays.<br />You can almost smell the local baristas brewing coffee - being less than a 200m level walk to cafés, restaurants, and supermarkets.<br /><br /><b>The space</b><br />Pets welcome subject to management approval - so please ensure you notify the owner if you are planning to bring your furry friend/s. <br />Smoking is strictly outside only.<br />No Schoolies or Parties.<br />Prices listed based on 5 persons. Property has 3 beds",,https://a0.muscache.com/pictures/c4050692-1248-4a97-be61-9720d8331b1c.jpg,156236461,https://www.airbnb.com/users/show/156236461,Janelle,25/10/2017,"Parkes, New South Wales, Australia","
I am a local who thrives on renovating older styled properties and giving them a new lease of life. I enjoy great food, wine and good company. Our four legged friend travels with us wherever possible, hence our appreciation of pet friendly accommodation. For all our travels we try and source chic styled accommodation within walking distance to all facilities.",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/6dd05c06-548d-4337-85d5-3ff3d5367dca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6dd05c06-548d-4337-85d5-3ff3d5367dca.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,-33.13643,148.17308,Entire house,Entire home/apt,5,,2 baths,3,3,"[""Dryer"", ""Garden or backyard"", ""Free parking on premises"", ""First aid kit"", ""Microwave"", ""Patio or balcony"", ""Oven"", ""Washer"", ""Long term stays allowed"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""TV"", ""Heating"", ""Keypad"", ""Iron"", ""Hangers"", ""Free street parking"", ""Private entrance"", ""Dishwasher"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Wifi"", ""Refrigerator""]",$241.00,2,1125,2,2,1125,1125,2,1125,,t,18,40,54,176,1/2/2021,73,16,2,25/12/2017,9/1/2021,99,10,10,10,10,10,10,,,f,1,1,0,0,16200,Parkes ,1,New South Wales,,,1.93
23791290,https://www.airbnb.com/rooms/23791290,2.02101E+13,24/1/2021,2/2/2021,King Master Bedroom in CBD of Parramatta,Master king bedroom with big bathroom and balcony. Queen & double bed for 4 guest. Brand new apparment in CBD of Parramatta. Tv in room plus free internet also can provider parking for guest. Complementary coffee tea. This is big apparment and share with owner.<br /><br /><b>The space</b><br />King master bedroom is very huge with big bathroom and balcony. Can smoke only on balcony. Keep harmony and look after as you in your own home. Tv plus free internet. If you need car space yes you can have $10 per day. Children welcome. Free coffee tea can have in your own room. If need kitchen welcome to use. If need laundry ask host and will help you to use. Will try my best make your stay as comfortable as posible. Also will have iron and hair dryer in your room.<br /><br /><b>Guest access</b><br />Guest access to the loby area where will be welcome by host. Use lift to brand new apparment.,Very friendly.,https://a0.muscache.com/pictures/1f3cb5ed-4850-48e3-b474-d1bc0d6b15bd.jpg,115137568,https://www.airbnb.com/users/show/115137568,Sasha,6/2/2017,"Parramatta, New South Wales, Australia","Easy going. Friendly, happy to meet new people. Like to explore new place, cities, countries and continents ",within an hour,88%,100%,t,https://a0.muscache.com/im/pictures/user/cd589a68-1165-4869-a541-8484b1c63875.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cd589a68-1165-4869-a541-8484b1c63875.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Parramatta, New South Wales, Australia",-33.80851,151.00757,Shared room in apartment,Shared room,4,,1 shared bath,1,2,"[""TV"", ""Elevator"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Air conditioning"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Long term stays allowed"", ""Host greets you"", ""Dedicated workspace"", ""Shampoo"", ""Hot water"", ""Paid parking on premises"", ""Essentials"", ""Breakfast"", ""Wifi""]",$90.00,1,1125,1,1,1125,1125,1,1125,,t,30,60,90,365,2/2/2021,23,2,1,17/3/2018,23/1/2021,93,9,10,10,10,10,9,,,f,2,0,1,1,16250,Parramatta ,1,New South Wales,,,0.65
41671087,https://www.airbnb.com/rooms/41671087,2.02101E+13,,26/1/2021,Luxury in the west,"Set in one of Parramatta's most elite streets surrounded by first-class, impeccably manicured homes, your stay will be extraordinary in this outstanding designer residence.<br /><br />* Premium three bedroom family home<br />* Designer kitchen with stone benchtops<br />* Multiple living areas with 8 zone ducted air-conditioning<br />* Double lock-up garage with remote access",,https://a0.muscache.com/pictures/cd97e95a-d123-4c2a-851b-abaa19380d83.jpg,328894208,https://www.airbnb.com/users/show/328894208,House,19/1/2020,AU,,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/f3b4ec09-8e55-4c96-ba33-28af6bd34c7f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f3b4ec09-8e55-4c96-ba33-28af6bd34c7f.jpg?aki_policy=profile_x_medium,,0,0,"['email', 'phone']",t,f,,-33.80901,151.00462,Entire house,Entire home/apt,4,,2 baths,3,3,"[""Smoke alarm"", ""Hangers"", ""Shampoo"", ""Long term stays allowed"", ""Air conditioning"", ""Dedicated workspace"", ""Washer"", ""Iron"", ""Dryer"", ""Essentials"", ""Carbon monoxide alarm"", ""First aid kit"", ""Wifi"", ""Private entrance"", ""Free parking on premises"", ""Breakfast"", ""Fire extinguisher"", ""Heating"", ""TV"", ""Kitchen""]",$340.00,5,1125,5,5,1125,1125,5,1125,,t,0,0,0,0,26/1/2021,0,0,0,,,,,,,,,,,,f,1,1,0,0,16250,Parramatta ,1,New South Wales,,,
29834305,https://www.airbnb.com/rooms/29834305,2.02101E+13,,26/1/2021,4 bedroom Family Home,"Family home in Sydney Suburbs. Neat, functional space to explore this beautiful city. 15 min walk to bus for city. Beautiful quiet area but only minutes drive to the excitement of Parramatta, Nowest, Hillsong Conferences, Golf Clubs, Restaurants, Koala Park, Parklands, Lake Parramatta, Movies and More. Walk 100 metres to 2 small parks for the kids to play at and enjoy taking walks around a hilly, family friendly suburb.<br /><br /><b>The space</b><br />Other things to note<br /><br />- No loud noise allowed after 10:30pm, so as not to disturb the neighbours. Please keep noise to a minimum at all times. <br />- Strictly no parties <br />- No shoes indoors<br />- Smoking is NOT allowed in house or yards.<br />- Kindly be energy-aware. Switch off air conditioners, TV, lights, etc. when leaving the premises.<br /><br />- Bins are emptied everyTuesday morning. Guests are required to roll bin/s to the street and back if their stay includes a Monday or Tuesday<br /><br />- Washing machine ava",,https://a0.muscache.com/pictures/af2c44f2-3bb1-4d48-95a9-256d73f31472.jpg,91768989,https://www.airbnb.com/users/show/91768989,Regina,25/8/2016,"Bella Vista, New South Wales, Australia",I love seeing new places and spending time with my little family. ,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/a6fc2687-af14-43dc-81f6-333f7a30d6a7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a6fc2687-af14-43dc-81f6-333f7a30d6a7.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,-33.77269,150.9959,Entire house,Entire home/apt,7,,2 baths,4,6,"[""Smoke alarm"", ""Hangers"", ""Air conditioning"", ""Washer"", ""Iron"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Wifi"", ""Free parking on premises"", ""Lockbox"", ""Fire extinguisher"", ""Heating"", ""TV"", ""Kitchen""]",$290.00,7,7,7,7,7,7,7,7,,t,0,0,0,0,26/1/2021,1,0,0,29/12/2018,29/12/2018,80,8,8,8,8,8,8,,,t,1,1,0,0,16250,Parramatta ,1,New South Wales,,,0.04
21530089,https://www.airbnb.com/rooms/21530089,2.02101E+13,,27/1/2021,Modern Apartment Close to Everything,"Fantastic brand new Apartment with Panoramic views  of  Parramatta CBD. It is a 5 minute walk to the station, Westfield and Church Street ( With lots of dining options). 25 minutes express train service to Sydney Central (Sydney CBD). My place is good for couples, solo adventurers, and business travellers. <br /><br />We are a working couple who would love to welcome people from all backgrounds<br /><br /><b>The space</b><br />You have your own private separate bathroom to use, with a nice deep bath. Double size super comfy soft bed and the unit has a wonderful large balcony.<br /><br /><b>Guest access</b><br />You'll have your private bedroom with own bathroom. Rest of the space outside your bedroom is shared with us which has a large 55"" Curved Television and also use the large balcony with great views of the city. We are happy for you to use our kitchen if you need to.","Multicultural Parramatta combines a buzzing commercial area with a developing art and film scene. The Westfield Parramatta mall, trendy bars and Church Street’s global eateries serve young professionals and creative types.",https://a0.muscache.com/pictures/b74c425d-503f-47a0-bdf6-8f46362c236f.jpg,156479309,https://www.airbnb.com/users/show/156479309,Leah,27/10/2017,"Parramatta, New South Wales, Australia",,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/0a3869c0-388a-4097-a4f0-ea8efaebdd55.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0a3869c0-388a-4097-a4f0-ea8efaebdd55.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Parramatta, New South Wales, Australia",-33.81528,151.00074,Private room in apartment,Private room,2,,1 private bath,1,1,"[""Smoke alarm"", ""Hangers"", ""Shampoo"", ""Long term stays allowed"", ""Elevator"", ""Air conditioning"", ""Lock on bedroom door"", ""Washer"", ""Iron"", ""Dryer"", ""Essentials"", ""Wifi"", ""Host greets you"", ""Kitchen""]",$220.00,365,1125,365,365,1125,1125,365,1125,,t,0,0,0,0,27/1/2021,2,0,0,2/12/2017,7/12/2017,100,10,10,10,10,10,10,,,t,1,0,1,0,16250,Parramatta ,1,New South Wales,,,0.05
21990223,https://www.airbnb.com/rooms/21990223,2.02101E+13,23/1/2021,31/1/2021,Quiet room with a mini lounge at back of house.,"A quiet neighborhood but closed to bus stop, train station, shopping, etc. This is a fully furnished separate room with a double bed. Separate dining area, a mini lounge, bathroom and separate entrance. Free parking on drive way or on street. My house is on no though road. So, there is no noise of cars at all. 5 minutes walk to bus stop where bus 545 goes to Eastwood train station. 15 minutes walk to Eastwood train station, Woolworth, Restaurants, mall, Epping train station.<br /><br /><b>The space</b><br />The room is attached to sun room. There are gym machines in that area. Guests can freely use gym machines if the feel like. Hosts rarely come in that area. So, guest can consider that are as their own at most of the time. This area also has office table and chair which guest can use for study, dining or any other official works.<br /><br /><b>Guest access</b><br />This listing has separate bathroom with toilet and laundry area. This bathroom is only for guests. Guest has access to s",Very quiet neighborhood. End of our road (no through end) is Skenes Avenue Park. This park connect 4 end of road towards 4 directions. Guests can go for walk in walk way of park and adjacent neighborhood.,https://a0.muscache.com/pictures/2ca65cea-a51c-48f2-8261-c2a1ede1f90b.jpg,160566983,https://www.airbnb.com/users/show/160566983,Tareq,29/11/2017,"Sydney, New South Wales, Australia",I am a very adventurous person. I travel a lot. I been to every continent at least once except Antarctica. According to my travel experience I know what people need during their travel. I also like to watch thriller and horror movies. I like various sports activities. My favorite food is the type of food that I haven't tried yet.,N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/f9825171-a475-437f-a4ad-fa37bef614a5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f9825171-a475-437f-a4ad-fa37bef614a5.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Eastwood, New South Wales, Australia",-33.78524,151.07072,Private room in house,Private room,2,,1 shared bath,1,1,"[""Heating"", ""Patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Single level home"", ""Free street parking"", ""Long term stays allowed"", ""Air conditioning"", ""Hot water"", ""Private entrance"", ""Essentials"", ""Oven"", ""Free parking on premises"", ""Dedicated workspace"", ""Microwave"", ""Stove"", ""Hangers"", ""Shampoo"", ""Wifi"", ""Garden or backyard"", ""Host greets you"", ""Refrigerator"", ""Kitchen"", ""Lock on bedroom door"", ""Smoke alarm""]",$58.00,2,1125,2,2,1125,1125,2,1125,,t,0,0,30,30,31/1/2021,13,0,0,1/12/2017,2/1/2020,94,9,9,10,10,8,9,,,t,2,1,1,0,16250,Parramatta ,1,New South Wales,,,0.34
16897680,https://www.airbnb.com/rooms/16897680,2.02101E+13,,27/1/2021,Waterfront Apartment Finished to Exceptional Standard,"Enjoy the view from a comfortable, top-floor apartment in one of Sydney’s newest waterfront developments. The open-plan home blends practical finishes and state-of-the-art appliances with chic, fashionable decor and welcoming furnishings. Free Wi-fi for streaming your own Netflix, Stan, Disney Etc. Underground secure car-parking, comfy beds and flat waterfront walks and cycle-ways on your door step! Ermington Village specialty shops and Woolworths located at the end of the street and situated only a short distance to Westmead Hospitals and Sydney Olympic Park!","Year-round entertainment is available from this great location. Royal Shores is located on the waterfront, with level walking and bike paths. It's also perfectly positioned for events at the Olympic Park where you will find ANZ Stadium, the Aquatic, Archery, Athletic, Tennis and Hockey Centers. Monster Skate Park, Sydney Showground and many availalble of activities for children and adults alike!",https://a0.muscache.com/pictures/d632140d-08ec-441f-a2e5-3dde8fa83d0c.jpg,10441624,https://www.airbnb.com/users/show/10441624,Angela,5/12/2013,Australia,"Air Design Australia Property Management is Owned and Managed by Angela - Australian Resident,  Property Owner and Airbnb Property Professional with over 20 years experience in Real Estate and Interiors.  I look after families, individuals and business travellers who are searching for unique and comfortable accommodation when travelling, relocating, renovating or just in-between properties.  Contact me for your long or short term stay.

Looking to maximise the return on your investment property?  I am able to present your property in its' best light to maximise the best results for your most valuable asset.  Feel free to contact me to find out more about my ""Hosting"" management services.

I use Airbnb when travelling and enjoy the experience it provides for both Guest and Host.  I look forward to welcoming you to one of my many properties!",within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/fac43a8a-c33e-41e9-a5b0-5f33c69e26da.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fac43a8a-c33e-41e9-a5b0-5f33c69e26da.jpg?aki_policy=profile_x_medium,Annandale/Leichhardt,30,30,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,"Ermington, New South Wales, Australia",-33.82214,151.05243,Entire apartment,Entire home/apt,4,,2 baths,2,2,"[""Full kitchen"", ""Garden or backyard"", ""Iron"", ""Dryer"", ""Self check-in"", ""Bedroom comforts"", ""Wifi"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Heating"", ""Pack \u2019n Play/travel crib"", ""Washer"", ""Free parking on premises"", ""Bathroom essentials"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Coffee maker"", ""Air conditioning"", ""Hair dryer"", ""Free street parking"", ""TV""]",$154.00,4,1124,4,30,1124,1124,6.6,1124,,t,0,0,0,0,27/1/2021,59,3,0,8/2/2017,31/7/2020,94,10,10,10,10,9,9,,,f,29,29,0,0,16250,Parramatta ,1,New South Wales,,,1.22
36454823,https://www.airbnb.com/rooms/36454823,2.02101E+13,,1/2/2021,2BR Spacious High Rise,"2BR Spacious & Stylish High rise panoramic view in the heart of Parramatta is very centrally located. it offers open plan living and deliver an abundance of natural sunlight and great views from the balcony. It is located in the 25th floor of the building.<br /><br /><b>The space</b><br />True local living experience with heaps of restaurants just at your doorstep.<br />Westfield mall, station and bus stop is right across the road. Stainless steel kitchen appliances and full laundry.<br />Full living room entertainment equipment with Netflix, Smart 55 inch tv, unlimited SuperFast NBN Wifi and did I forgot to mention xbox with lots of games.",,https://a0.muscache.com/pictures/eca3983c-bd2d-406d-9702-a9bd3302651a.jpg,260134627,https://www.airbnb.com/users/show/260134627,Manoranjan,6/5/2019,AU,,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/0e82ad22-5be5-47c6-ac08-a23b46e8b912.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e82ad22-5be5-47c6-ac08-a23b46e8b912.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,-33.81901,151.00286,Entire apartment,Entire home/apt,4,,2 baths,2,2,"[""Elevator"", ""Kitchen"", ""Heating"", ""Air conditioning"", ""Long term stays allowed"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Dryer"", ""Free parking on premises"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Wifi""]",$150.00,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,0,1/2/2021,2,0,0,1/8/2019,2/1/2020,60,10,10,10,10,10,7,,,f,1,1,0,0,16250,Parramatta ,1,New South Wales,,,0.11
